token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
2068	διερωτάω	v1siia---		διερωτάω		v1siia---	glaux_only
2069	ἄν	g--------	ἄν	ἄν	d--------	g--------	
2070	αὐτός	p-p---ma-		αὐτός		p-p---ma-	glaux_only
2071	τίς	p-s---na-		τίς		p-s---na-	glaux_only
2072	λέγω	v3ppoa---		λέγω		v3ppoa---	glaux_only
2073	,	u--------		,		u--------	glaux_only
2074	ἵνα	c--------		ἵνα		c--------	glaux_only
2075	ἅμα	d--------		ἅμα		d--------	glaux_only
2076	τις	p-s---na-		τις		p-s---na-	glaux_only
2077	καί	d--------	καί	καί	d--------	d--------	
2078	μανθάνω	v1spoa---		μανθάνω		v1spoa---	glaux_only
2079	παρά	r--------		παρά		r--------	glaux_only
2080	αὐτός	p-p---mg-		αὐτός		p-p---mg-	glaux_only
2081	.	u--------		.		u--------	glaux_only
2082	αἰσχύνω	v1spim---		αἰσχύνω		v1spim---	glaux_only
2083	οὖν	g--------		οὖν		g--------	glaux_only
2084	σύ	p2p---cd-		σύ		p2p---cd-	glaux_only
2085	λέγω	v--ana---		λέγω		v--ana---	glaux_only
2086	,	u--------		,		u--------	glaux_only
2087	ὦ	i--------		ὦ		i--------	glaux_only
2088	ἀνήρ	n-p---mv-		ἀνήρ		n-p---mv-	glaux_only
2089	,	u--------		,		u--------	glaux_only
2090							unmatched
2091							unmatched
2092	·	u--------		·		u--------	glaux_only
2093	ὅμως	d--------		ὅμως		d--------	glaux_only
2094	δέ	b--------		δέ		b--------	glaux_only
2095	λέγω	a-s---nn-		λέγω		a-s---nn-	glaux_only
2096	.	u--------		.		u--------	glaux_only
2097	ὡς	c--------		ὡς		c--------	glaux_only
2098	ἔπος	n-s---na-		ἔπος		n-s---na-	glaux_only
2099	γάρ	g--------		γάρ		g--------	glaux_only
2100	λέγω	v--ana---		λέγω		v--ana---	glaux_only
2101	ὀλίγος	a-s---ng-		ὀλίγος		a-s---ng-	glaux_only
2102	αὐτός	p-p---mg-		αὐτός		p-p---mg-	glaux_only
2103	ἅπας	a-p---mn-		ἅπας		a-p---mn-	glaux_only
